sensor,minimum_slope,median_slope,maximum_slope,starting_mean_std
sensor_11,0.0017236779088888,0.0033345595747218,0.0057223056376537,0.1444448384430814
sensor_12,-0.0163363638060772,-0.00845357020963845,-0.0040033624378931,0.40380538280654554
sensor_13,5.4992490068776905e-05,0.0006934858606110999,0.001707376730601,0.04610983679270273
sensor_14,-0.1785788669534749,0.04059056580678225,0.4848289183745282,7.294150888790743
sensor_15,0.000258029899284,0.00042673586226595,0.0007248338529318,0.01704228673563464
sensor_17,0.0096442553566093,0.0173460532290548,0.0261026367109254,0.696510004744282
sensor_2,0.0026612172626118,0.0053009560887632996,0.0090587449576614,0.23570194920865137
sensor_20,-0.003612625310359,-0.0020461336184054,-0.0012075594266366,0.08309718269684029
sensor_21,-0.0020115342077845,-0.0012379258954512999,-0.0006246435882215,0.050101667946374336
sensor_3,0.0318312980054662,0.06509578487308454,0.1003065701506172,2.4322693588538074
sensor_4,0.0630569458469169,0.109291987916212,0.1778901708523636,4.35329545363115
sensor_7,-0.018176691729321,-0.009909927947003301,-0.0045926949597541,0.47230337643387754
sensor_8,6.486598288763501e-05,0.00066509809563505,0.0015820374484239,0.045078747904681665
sensor_9,-0.1273227185610747,0.07527831703524765,0.5888175403388872,7.334677155101866
