epoch,train_weighted_mse_normalized,validation_endpoint_RMSE
1,0.18183504807365833,24.9509881094124
2,0.023502270357786664,20.915859978496655
3,0.021337972619424522,21.20237309438764
4,0.019917920877632115,21.620970881905908
5,0.01773331894702212,19.347932468051624
6,0.015025354157290855,15.870725975393217
7,0.012835743835427703,16.05673949612519
8,0.01162397250106611,15.643112258211731
9,0.01099559187024866,15.538438438967578
10,0.010684998755302037,15.904689980528575
11,0.01009198617144909,15.326960517100279
12,0.009789873954241824,15.840333464536831
13,0.009570855361815902,15.77167756638646
14,0.009503627922297078,15.640236848487293
15,0.008905704931593497,16.919608553599893
16,0.009173467273376111,15.774896875045894
17,0.00833994942148653,15.58355541903904
18,0.008106796188747531,16.448520748871434
19,0.007838508682060612,16.424697186854946
20,0.007679443107229015,15.145647724052623
21,0.007785060072024056,15.574050704425654
22,0.007367449087597982,15.481724412743395
23,0.007251850604501714,17.75217246919106
24,0.007118780539288913,17.268520188572012
25,0.007193226117604068,15.9927326830826
26,0.0070832197172117925,16.308281750634634
27,0.006861968133290393,18.39497610812958
28,0.006557101920183194,16.375075284579555
29,0.006776000287361975,16.374143314954846
30,0.0066801298955301,18.675200049918427
