sensor,unique_values,variance,pearson_cycle,pearson_rul_raw,pearson_rul_clipped,median_abs_spearman_cycle,median_monotonicity_smoothed,median_trend_r2,median_noise_ratio,slope_median,slope_iqr,starting_mean_std_between_engines,classification,preprocessing,reason
sensor_1,1,0.0,,,,,0.0,,,-1.790757869129418e-16,1.6691916915673241e-15,0.0,Remove,None,Only 1 unique values; effectively constant or binary near-constant signal under this regime.
sensor_2,305,0.24812782432360275,0.5586381040070559,-0.5969588032762521,-0.675214949490747,0.6704369035695374,0.24989583333333332,0.468002182729943,0.6508629567921446,0.005300956088763324,0.001883766163656513,0.23570194920865575,Keep,Normalize,"Consistent within-engine trend: median |rho|=0.670, trend R2=0.468; retain and standardize on training engines."
sensor_3,2878,37.03220259687724,0.5511981291356958,-0.5751228344838963,-0.6521305310347698,0.6475574611495961,0.22648077067810643,0.4414401441336579,0.680799824782029,0.0650957848730846,0.023404518481266047,2.432269358853796,Keep,Normalize,"Consistent within-engine trend: median |rho|=0.648, trend R2=0.441; retain and standardize on training engines."
sensor_4,3893,80.38226543722051,0.6324832116421365,-0.6656939526560776,-0.7523072521341797,0.7865520452494033,0.3333333333333333,0.6246626957067294,0.49981098900526644,0.10929198791621204,0.03907429110064056,4.353295453631159,Keep,Normalize,"Consistent within-engine trend: median |rho|=0.787, trend R2=0.625; retain and standardize on training engines."
sensor_5,1,2.8400707502967775e-29,,,,,0.0,,,-1.411186666579136e-17,5.2967011018051064e-17,1.7875642492506486e-15,Remove,None,Only 1 unique values; effectively constant or binary near-constant signal under this regime.
sensor_6,2,1.8601841472026753e-06,0.1035972727809839,-0.11720751972537534,-0.10369924070716237,0.12098548321720233,0.0054685632321300505,0.014637487149364747,1.0064516129032262,9.856233946906468e-07,4.343226168269256e-06,0.0007709110178664126,Remove,None,Only 2 unique values; effectively constant or binary near-constant signal under this regime.
sensor_7,501,0.7704835509426876,-0.6041146491330155,0.6445245794931299,0.7274893685991015,0.7762102260415018,0.34294003868471956,0.613596721907921,0.5304820868435425,-0.009909927947003365,0.004736456350622722,0.47230337643387554,Keep,Normalize,"Consistent within-engine trend: median |rho|=0.776, trend R2=0.614; retain and standardize on training engines."
sensor_8,53,0.004991013756926138,0.4865048700861081,-0.5510680175094698,-0.6187891946773681,0.7687546600042979,0.31737842384072706,0.604676098226036,0.5245664208905734,0.0006650980956351004,0.000554484047672419,0.04507874790471458,Keep,Normalize,"Consistent within-engine trend: median |rho|=0.769, trend R2=0.605; retain and standardize on training engines."
sensor_9,5911,513.4665966020482,0.4306682055729113,-0.38659738145927247,-0.4601797604023076,0.7391114496073461,0.29557690997069447,0.5574639988949832,0.5808237913829575,0.0752783170352477,0.335152810997553,7.334677155102204,Keep,Normalize,"Consistent within-engine trend: median |rho|=0.739, trend R2=0.557; retain and standardize on training engines."
sensor_10,1,4.930678385931905e-32,,,,,0.0,,,4.385098745110822e-20,4.53653699092858e-18,2.234455311563311e-16,Remove,None,Only 1 unique values; effectively constant or binary near-constant signal under this regime.
sensor_11,155,0.07061424556033076,0.6431183099960316,-0.6839401470914653,-0.7711821887660657,0.8196747482146113,0.39004116020322854,0.6674672399493062,0.43194138553719647,0.0033345595747218213,0.0011793843194327722,0.1444448384430824,Keep,Normalize,"Consistent within-engine trend: median |rho|=0.820, trend R2=0.667; retain and standardize on training engines."
sensor_12,425,0.540210509219757,-0.6196356908052916,0.6576160105896,0.7423946338396881,0.809223120290664,0.36667562792841235,0.6602268940564391,0.456918715121321,-0.008453570209638514,0.00420187011740629,0.403805382806536,Keep,Normalize,"Consistent within-engine trend: median |rho|=0.809, trend R2=0.660; retain and standardize on training engines."
sensor_13,55,0.005142129751170469,0.4865861280472255,-0.5475675225322199,-0.6173277606081635,0.7619773367105986,0.3173499020733437,0.599397347784363,0.526415079325477,0.0006934858606111359,0.0005515204577717669,0.04610983679266457,Keep,Normalize,"Consistent within-engine trend: median |rho|=0.762, trend R2=0.599; retain and standardize on training engines."
sensor_14,5652,383.6537881491195,0.3570536654872483,-0.3082971436935629,-0.3719594814257213,0.7763914239436599,0.37435975842825475,0.6152623576844286,0.4133182664370889,0.04059056580678229,0.2972731382436661,7.294150888790794,Keep,Normalize,"Consistent within-engine trend: median |rho|=0.776, trend R2=0.615; retain and standardize on training engines."
sensor_15,1871,0.0014068578012529146,0.5937337230480909,-0.631292765676298,-0.716661952144532,0.7222904990049688,0.2852501624431449,0.5435033954382472,0.5739984680815183,0.00042673586226602044,0.00015589425029348836,0.017042286735634713,Keep,Normalize,"Consistent within-engine trend: median |rho|=0.722, trend R2=0.544; retain and standardize on training engines."
sensor_16,1,1.083401012533866e-34,,,,,0.0,,,-9.950265251339605e-21,8.76648413192796e-20,0.0,Remove,None,Only 1 unique values; effectively constant or binary near-constant signal under this regime.
sensor_17,13,2.3910968511376622,0.5726651170490237,-0.5958006596906693,-0.6772769553632689,0.6713819412007695,0.24175194542159684,0.4673352384074557,0.6605641194232489,0.01734605322905486,0.005289816890606324,0.6965100047442727,Keep,Normalize,"Consistent within-engine trend: median |rho|=0.671, trend R2=0.467; retain and standardize on training engines."
sensor_18,1,0.0,,,,,0.0,,,3.0875606640985554e-16,7.381673807209276e-15,0.0,Remove,None,Only 1 unique values; effectively constant or binary near-constant signal under this regime.
sensor_19,1,0.0,,,,,0.0,,,-5.8802518248352885e-18,3.7330017881235565e-16,0.0,Remove,None,Only 1 unique values; effectively constant or binary near-constant signal under this regime.
sensor_20,119,0.03235409033125086,-0.5934601213162987,0.6185653362235498,0.7029868466376036,0.7075293029233534,0.2746667839704394,0.5232333803509618,0.6003980626060098,-0.002046133618405492,0.0006870060809014669,0.08309718269684004,Keep,Normalize,"Consistent within-engine trend: median |rho|=0.708, trend R2=0.523; retain and standardize on training engines."
sensor_21,4495,0.011535883863271255,-0.5916476875269061,0.6241220759766531,0.7037131497634079,0.7080048983058238,0.27391822151647477,0.5334023419837159,0.6070229573188739,-0.001237925895451339,0.0003996850456989983,0.05010166794637396,Keep,Normalize,"Consistent within-engine trend: median |rho|=0.708, trend R2=0.533; retain and standardize on training engines."
